Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1273	1e+19	80	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.398547e+11	2.522503e+10	0	7.087901e-07	9.261751e-13	2.514935e-19	0.5	0.5	0.08146199	1	0	7.209709e+26	2.301694e+28	
1	1273	1e+19	80	5e-06	8.64e+21	8.497953e+21	8.497953e+21	0	1.420471e+20	0	1.08e+21	1.062244e+21	1.062244e+21	0	1.775588e+19	0	0	7.636282e+23	0	0	5.398475e+11	493.3583	751.28	4.661472e-09	4.005936e-17	7.153905e-26	2.162594e-05	0.5	2.31721e-08	1	0.00122169	7.209709e+26	2.301694e+28	
2	1273	1e+19	80	5e-06	1.728e+22	1.698834e+22	1.382775e+22	3.160589e+21	2.916589e+20	0	2.16e+21	2.123543e+21	1.728469e+21	3.950736e+20	3.645736e+19	0	0	1.087588e+24	0	0	5.398355e+11	1013.013	2460.891	6.391963e-09	7.532277e-17	1.844491e-25	4.06619e-05	0.5	5.974331e-08	1	0.002443379	7.209709e+26	2.301694e+28	
3	1273	1e+19	80	5e-06	2.592e+22	2.547122e+22	1.921579e+22	6.255431e+21	4.48777e+20	0	3.24e+21	3.183903e+21	2.401974e+21	7.819289e+20	5.609713e+19	0	0	1.225024e+24	3.048855e-11	1.454266e-07	5.39819e+11	1558.776	5407.123	7.914158e-09	1.154695e-16	3.500967e-25	6.233262e-05	0.5	1.133933e-07	1	0.003665069	7.209709e+26	2.301694e+28	
4	1273	1e+19	80	5e-06	3.456e+22	3.394712e+22	2.432738e+22	9.619739e+21	6.128806e+20	0	4.32e+21	4.24339e+21	3.040922e+21	1.202467e+21	7.661007e+19	0	0	1.239162e+24	3.81334e-11	2.87828e-07	5.397967e+11	2128.859	10160.27	9.426835e-09	1.638286e-16	5.916591e-25	8.843412e-05	0.5	1.916254e-07	1	0.004886759	7.209709e+26	2.301694e+28	
5	1273	1e+19	80	5e-06	4.32e+22	4.241517e+22	3.015329e+22	1.226187e+22	7.848312e+20	0	5.4e+21	5.301896e+21	3.769162e+21	1.532734e+21	9.81039e+19	0	0	1.234103e+24	4.407575e-11	4.426283e-07	5.397657e+11	2726.291	17938.91	1.107429e-08	2.260941e-16	9.592261e-25	0.0001220378	0.5	3.106544e-07	1	0.006108448	7.209709e+26	2.301694e+28	
6	1273	1e+19	80	5e-06	5.184e+22	5.087538e+22	3.608227e+22	1.479311e+22	9.646167e+20	0	6.48e+21	6.359423e+21	4.510284e+21	1.849139e+21	1.205771e+20	0	0	1.223704e+24	4.792431e-11	5.641995e-07	5.39719e+11	3351.107	31660.59	1.305684e-08	3.142925e-16	1.572129e-24	0.0001696297	0.5	5.091049e-07	1	0.007330138	7.209709e+26	2.301694e+28	
7	1273	1e+19	80	5e-06	6.048e+22	5.932781e+22	4.208659e+22	1.724122e+22	1.152187e+21	0	7.56e+21	7.415977e+21	5.260824e+21	2.155152e+21	1.440234e+20	0	0	1.21416e+24	5.115134e-11	6.806682e-07	5.39638e+11	4003.333	60103.06	1.580682e-08	4.606244e-16	2.78938e-24	0.0002485704	0.5	9.031531e-07	1	0.008551828	7.209709e+26	2.301694e+28	
8	1273	1e+19	80	5e-06	6.912e+22	6.77726e+22	4.809884e+22	1.967376e+22	1.347402e+21	0	8.64e+21	8.471575e+21	6.012355e+21	2.45922e+21	1.684252e+20	0	0	1.205876e+24	5.395324e-11	7.933116e-07	5.394663e+11	4683.106	135557.2	2.032676e-08	7.617176e-16	5.931686e-24	0.000410921	0.5	1.919967e-06	1	0.009773518	7.209709e+26	2.301694e+28	
9	1273	1e+19	80	5e-06	7.776e+22	7.620988e+22	5.411038e+22	2.209951e+22	1.550115e+21	0	9.72e+21	9.526236e+21	6.763797e+21	2.762438e+21	1.937644e+20	0	0	1.198723e+24	5.649179e-11	9.052389e-07	5.391179e+11	5391.151	337536.7	2.722447e-08	1.366396e-15	1.425122e-23	0.0007366485	0.5	4.609852e-06	1	0.01099521	7.209709e+26	2.301694e+28	
10	1273	1e+19	80	5e-06	8.64e+22	8.463982e+22	6.011651e+22	2.452331e+22	1.76018e+21	0	1.08e+22	1.057998e+22	7.514563e+21	3.065414e+21	2.200225e+20	0	0	1.192412e+24	5.88276e-11	1.016854e-06	5.386327e+11	6127.251	702806.8	3.459863e-08	2.206864e-15	2.925166e-23	0.001188689	0.5	9.453541e-06	1	0.0122169	7.209709e+26	2.301694e+28	
11	1273	1e+19	80	5e-06	9.504e+22	9.306254e+22	6.611739e+22	2.694515e+22	1.977455e+21	0	1.188e+22	1.163282e+22	8.264674e+21	3.368144e+21	2.471819e+20	0	0	1.186739e+24	6.100102e-11	1.128379e-06	5.38107e+11	6890.319	1187746	4.113198e-08	3.119012e-15	4.914879e-23	0.001678362	0.5	1.586838e-05	1	0.01343859	7.209709e+26	2.301694e+28	
12	1273	1e+19	80	5e-06	1.0368e+23	1.014782e+23	7.211347e+22	2.936473e+22	2.201805e+21	0	1.296e+22	1.268477e+22	9.014183e+21	3.670591e+21	2.752256e+20	0	0	1.181559e+24	6.303826e-11	1.239814e-06	5.375801e+11	7679.57	1752730	4.678415e-08	4.035109e-15	7.232194e-23	0.002169194	0.5	2.33273e-05	1	0.01466028	7.209709e+26	2.301694e+28	
